,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Original_medal,Gold,Silver,Bronze,Athlete_Team,Original_gold_winner,New_medal
471,Stockholm (1912),1912,Athletics,Athletics,Tell Schirnding Berna,USA,Men,3000m team men,Gold,1,0,0,Tell Schirnding Berna (USA),Tell Schirnding Berna (USA),Gold
472,Stockholm (1912),1912,Athletics,Athletics,Tell Schirnding Berna,USA,Men,3000m team men,Gold,1,0,0,Tell Schirnding Berna (USA),George V. Bonhag (USA),Gold
473,Stockholm (1912),1912,Athletics,Athletics,Tell Schirnding Berna,USA,Men,3000m team men,Gold,1,0,0,Tell Schirnding Berna (USA),Abel Kiviat (USA),Gold
474,Stockholm (1912),1912,Athletics,Athletics,Tell Schirnding Berna,USA,Men,3000m team men,Gold,1,0,0,Tell Schirnding Berna (USA),Henry Louis Scott (USA),Gold
475,Stockholm (1912),1912,Athletics,Athletics,Tell Schirnding Berna,USA,Men,3000m team men,Gold,1,0,0,Tell Schirnding Berna (USA),Norman Taber (USA),Gold
476,Stockholm (1912),1912,Athletics,Athletics,George V. Bonhag,USA,Men,3000m team men,Gold,1,0,0,George V. Bonhag (USA),Tell Schirnding Berna (USA),Gold
477,Stockholm (1912),1912,Athletics,Athletics,George V. Bonhag,USA,Men,3000m team men,Gold,1,0,0,George V. Bonhag (USA),George V. Bonhag (USA),Gold
478,Stockholm (1912),1912,Athletics,Athletics,George V. Bonhag,USA,Men,3000m team men,Gold,1,0,0,George V. Bonhag (USA),Abel Kiviat (USA),Gold
479,Stockholm (1912),1912,Athletics,Athletics,George V. Bonhag,USA,Men,3000m team men,Gold,1,0,0,George V. Bonhag (USA),Henry Louis Scott (USA),Gold
480,Stockholm (1912),1912,Athletics,Athletics,George V. Bonhag,USA,Men,3000m team men,Gold,1,0,0,George V. Bonhag (USA),Norman Taber (USA),Gold
481,Stockholm (1912),1912,Athletics,Athletics,Abel Kiviat,USA,Men,3000m team men,Gold,1,0,0,Abel Kiviat (USA),Tell Schirnding Berna (USA),Gold
482,Stockholm (1912),1912,Athletics,Athletics,Abel Kiviat,USA,Men,3000m team men,Gold,1,0,0,Abel Kiviat (USA),George V. Bonhag (USA),Gold
483,Stockholm (1912),1912,Athletics,Athletics,Abel Kiviat,USA,Men,3000m team men,Gold,1,0,0,Abel Kiviat (USA),Abel Kiviat (USA),Gold
484,Stockholm (1912),1912,Athletics,Athletics,Abel Kiviat,USA,Men,3000m team men,Gold,1,0,0,Abel Kiviat (USA),Henry Louis Scott (USA),Gold
485,Stockholm (1912),1912,Athletics,Athletics,Abel Kiviat,USA,Men,3000m team men,Gold,1,0,0,Abel Kiviat (USA),Norman Taber (USA),Gold
486,Stockholm (1912),1912,Athletics,Athletics,Henry Louis Scott,USA,Men,3000m team men,Gold,1,0,0,Henry Louis Scott (USA),Tell Schirnding Berna (USA),Gold
487,Stockholm (1912),1912,Athletics,Athletics,Henry Louis Scott,USA,Men,3000m team men,Gold,1,0,0,Henry Louis Scott (USA),George V. Bonhag (USA),Gold
488,Stockholm (1912),1912,Athletics,Athletics,Henry Louis Scott,USA,Men,3000m team men,Gold,1,0,0,Henry Louis Scott (USA),Abel Kiviat (USA),Gold
489,Stockholm (1912),1912,Athletics,Athletics,Henry Louis Scott,USA,Men,3000m team men,Gold,1,0,0,Henry Louis Scott (USA),Henry Louis Scott (USA),Gold
490,Stockholm (1912),1912,Athletics,Athletics,Henry Louis Scott,USA,Men,3000m team men,Gold,1,0,0,Henry Louis Scott (USA),Norman Taber (USA),Gold
491,Stockholm (1912),1912,Athletics,Athletics,Norman Taber,USA,Men,3000m team men,Gold,1,0,0,Norman Taber (USA),Tell Schirnding Berna (USA),Gold
492,Stockholm (1912),1912,Athletics,Athletics,Norman Taber,USA,Men,3000m team men,Gold,1,0,0,Norman Taber (USA),George V. Bonhag (USA),Gold
493,Stockholm (1912),1912,Athletics,Athletics,Norman Taber,USA,Men,3000m team men,Gold,1,0,0,Norman Taber (USA),Abel Kiviat (USA),Gold
494,Stockholm (1912),1912,Athletics,Athletics,Norman Taber,USA,Men,3000m team men,Gold,1,0,0,Norman Taber (USA),Henry Louis Scott (USA),Gold
495,Stockholm (1912),1912,Athletics,Athletics,Norman Taber,USA,Men,3000m team men,Gold,1,0,0,Norman Taber (USA),Norman Taber (USA),Gold
522,Stockholm (1912),1912,Athletics,Athletics,Charles Decker Reidpath,USA,Men,400m men,Gold,1,0,0,Charles Decker Reidpath (USA),Charles Decker Reidpath (USA),Gold
524,Stockholm (1912),1912,Athletics,Athletics,William Applegarth,GBR,Men,4x100m relay men,Gold,1,0,0,William Applegarth (GBR),William Applegarth (GBR),Gold
525,Stockholm (1912),1912,Athletics,Athletics,William Applegarth,GBR,Men,4x100m relay men,Gold,1,0,0,William Applegarth (GBR),Victor Henry Augustus D'Arcy (GBR),Gold
526,Stockholm (1912),1912,Athletics,Athletics,William Applegarth,GBR,Men,4x100m relay men,Gold,1,0,0,William Applegarth (GBR),David Henry Jacobs (GBR),Gold
527,Stockholm (1912),1912,Athletics,Athletics,William Applegarth,GBR,Men,4x100m relay men,Gold,1,0,0,William Applegarth (GBR),Henry Maitland Mackintosh (GBR),Gold
528,Stockholm (1912),1912,Athletics,Athletics,Victor Henry Augustus D'Arcy,GBR,Men,4x100m relay men,Gold,1,0,0,Victor Henry Augustus D'Arcy (GBR),William Applegarth (GBR),Gold
529,Stockholm (1912),1912,Athletics,Athletics,Victor Henry Augustus D'Arcy,GBR,Men,4x100m relay men,Gold,1,0,0,Victor Henry Augustus D'Arcy (GBR),Victor Henry Augustus D'Arcy (GBR),Gold
530,Stockholm (1912),1912,Athletics,Athletics,Victor Henry Augustus D'Arcy,GBR,Men,4x100m relay men,Gold,1,0,0,Victor Henry Augustus D'Arcy (GBR),David Henry Jacobs (GBR),Gold
531,Stockholm (1912),1912,Athletics,Athletics,Victor Henry Augustus D'Arcy,GBR,Men,4x100m relay men,Gold,1,0,0,Victor Henry Augustus D'Arcy (GBR),Henry Maitland Mackintosh (GBR),Gold
532,Stockholm (1912),1912,Athletics,Athletics,David Henry Jacobs,GBR,Men,4x100m relay men,Gold,1,0,0,David Henry Jacobs (GBR),William Applegarth (GBR),Gold
533,Stockholm (1912),1912,Athletics,Athletics,David Henry Jacobs,GBR,Men,4x100m relay men,Gold,1,0,0,David Henry Jacobs (GBR),Victor Henry Augustus D'Arcy (GBR),Gold
534,Stockholm (1912),1912,Athletics,Athletics,David Henry Jacobs,GBR,Men,4x100m relay men,Gold,1,0,0,David Henry Jacobs (GBR),David Henry Jacobs (GBR),Gold
535,Stockholm (1912),1912,Athletics,Athletics,David Henry Jacobs,GBR,Men,4x100m relay men,Gold,1,0,0,David Henry Jacobs (GBR),Henry Maitland Mackintosh (GBR),Gold
536,Stockholm (1912),1912,Athletics,Athletics,Henry Maitland Mackintosh,GBR,Men,4x100m relay men,Gold,1,0,0,Henry Maitland Mackintosh (GBR),William Applegarth (GBR),Gold
537,Stockholm (1912),1912,Athletics,Athletics,Henry Maitland Mackintosh,GBR,Men,4x100m relay men,Gold,1,0,0,Henry Maitland Mackintosh (GBR),Victor Henry Augustus D'Arcy (GBR),Gold
538,Stockholm (1912),1912,Athletics,Athletics,Henry Maitland Mackintosh,GBR,Men,4x100m relay men,Gold,1,0,0,Henry Maitland Mackintosh (GBR),David Henry Jacobs (GBR),Gold
539,Stockholm (1912),1912,Athletics,Athletics,Henry Maitland Mackintosh,GBR,Men,4x100m relay men,Gold,1,0,0,Henry Maitland Mackintosh (GBR),Henry Maitland Mackintosh (GBR),Gold
572,Stockholm (1912),1912,Athletics,Athletics,Edward F. Lindberg,USA,Men,4x400m relay men,Gold,1,0,0,Edward F. Lindberg (USA),Edward F. Lindberg (USA),Gold
573,Stockholm (1912),1912,Athletics,Athletics,Edward F. Lindberg,USA,Men,4x400m relay men,Gold,1,0,0,Edward F. Lindberg (USA),James Edwin Meredith (USA),Gold
574,Stockholm (1912),1912,Athletics,Athletics,Edward F. Lindberg,USA,Men,4x400m relay men,Gold,1,0,0,Edward F. Lindberg (USA),Charles Decker Reidpath (USA),Gold
575,Stockholm (1912),1912,Athletics,Athletics,Edward F. Lindberg,USA,Men,4x400m relay men,Gold,1,0,0,Edward F. Lindberg (USA),Melvin Sheppard (USA),Gold
576,Stockholm (1912),1912,Athletics,Athletics,James Edwin Meredith,USA,Men,4x400m relay men,Gold,1,0,0,James Edwin Meredith (USA),Edward F. Lindberg (USA),Gold
577,Stockholm (1912),1912,Athletics,Athletics,James Edwin Meredith,USA,Men,4x400m relay men,Gold,1,0,0,James Edwin Meredith (USA),James Edwin Meredith (USA),Gold
578,Stockholm (1912),1912,Athletics,Athletics,James Edwin Meredith,USA,Men,4x400m relay men,Gold,1,0,0,James Edwin Meredith (USA),Charles Decker Reidpath (USA),Gold
579,Stockholm (1912),1912,Athletics,Athletics,James Edwin Meredith,USA,Men,4x400m relay men,Gold,1,0,0,James Edwin Meredith (USA),Melvin Sheppard (USA),Gold
580,Stockholm (1912),1912,Athletics,Athletics,Charles Decker Reidpath,USA,Men,4x400m relay men,Gold,1,0,0,Charles Decker Reidpath (USA),Edward F. Lindberg (USA),Gold
581,Stockholm (1912),1912,Athletics,Athletics,Charles Decker Reidpath,USA,Men,4x400m relay men,Gold,1,0,0,Charles Decker Reidpath (USA),James Edwin Meredith (USA),Gold
582,Stockholm (1912),1912,Athletics,Athletics,Charles Decker Reidpath,USA,Men,4x400m relay men,Gold,1,0,0,Charles Decker Reidpath (USA),Charles Decker Reidpath (USA),Gold
583,Stockholm (1912),1912,Athletics,Athletics,Charles Decker Reidpath,USA,Men,4x400m relay men,Gold,1,0,0,Charles Decker Reidpath (USA),Melvin Sheppard (USA),Gold
584,Stockholm (1912),1912,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),Edward F. Lindberg (USA),Gold
585,Stockholm (1912),1912,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),James Edwin Meredith (USA),Gold
586,Stockholm (1912),1912,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),Charles Decker Reidpath (USA),Gold
587,Stockholm (1912),1912,Athletics,Athletics,Melvin Sheppard,USA,Men,4x400m relay men,Gold,1,0,0,Melvin Sheppard (USA),Melvin Sheppard (USA),Gold
605,Stockholm (1912),1912,Athletics,Athletics,Hannes Kolehmainen,FIN,Men,5000m men,Gold,1,0,0,Hannes Kolehmainen (FIN),Hannes Kolehmainen (FIN),Gold
608,Stockholm (1912),1912,Athletics,Athletics,James Edwin Meredith,USA,Men,800m men,Gold,1,0,0,James Edwin Meredith (USA),James Edwin Meredith (USA),Gold
611,Stockholm (1912),1912,Athletics,Athletics,Hannes Kolehmainen,FIN,Men,cross country individual men,Gold,1,0,0,Hannes Kolehmainen (FIN),Hannes Kolehmainen (FIN),Gold
622,Stockholm (1912),1912,Athletics,Athletics,Hjalmar Andersson,SWE,Men,cross country team men,Gold,1,0,0,Hjalmar Andersson (SWE),Hjalmar Andersson (SWE),Gold
623,Stockholm (1912),1912,Athletics,Athletics,Hjalmar Andersson,SWE,Men,cross country team men,Gold,1,0,0,Hjalmar Andersson (SWE),John Eke (SWE),Gold
624,Stockholm (1912),1912,Athletics,Athletics,Hjalmar Andersson,SWE,Men,cross country team men,Gold,1,0,0,Hjalmar Andersson (SWE),Josef Ternström (SWE),Gold
625,Stockholm (1912),1912,Athletics,Athletics,John Eke,SWE,Men,cross country team men,Gold,1,0,0,John Eke (SWE),Hjalmar Andersson (SWE),Gold
626,Stockholm (1912),1912,Athletics,Athletics,John Eke,SWE,Men,cross country team men,Gold,1,0,0,John Eke (SWE),John Eke (SWE),Gold
627,Stockholm (1912),1912,Athletics,Athletics,John Eke,SWE,Men,cross country team men,Gold,1,0,0,John Eke (SWE),Josef Ternström (SWE),Gold
628,Stockholm (1912),1912,Athletics,Athletics,Josef Ternström,SWE,Men,cross country team men,Gold,1,0,0,Josef Ternström (SWE),Hjalmar Andersson (SWE),Gold
629,Stockholm (1912),1912,Athletics,Athletics,Josef Ternström,SWE,Men,cross country team men,Gold,1,0,0,Josef Ternström (SWE),John Eke (SWE),Gold
630,Stockholm (1912),1912,Athletics,Athletics,Josef Ternström,SWE,Men,cross country team men,Gold,1,0,0,Josef Ternström (SWE),Josef Ternström (SWE),Gold
642,Stockholm (1912),1912,Athletics,Athletics,Jim Thorpe,USA,Men,decathlon men,Gold,1,0,0,Jim Thorpe (USA),Jim Thorpe (USA),Gold
643,Stockholm (1912),1912,Athletics,Athletics,Jim Thorpe,USA,Men,decathlon men,Gold,1,0,0,Jim Thorpe (USA),Hugo K. Wieslander (SWE),Gold
644,Stockholm (1912),1912,Athletics,Athletics,Hugo K. Wieslander,SWE,Men,decathlon men,Gold,1,0,0,Hugo K. Wieslander (SWE),Jim Thorpe (USA),Gold
645,Stockholm (1912),1912,Athletics,Athletics,Hugo K. Wieslander,SWE,Men,decathlon men,Gold,1,0,0,Hugo K. Wieslander (SWE),Hugo K. Wieslander (SWE),Gold
649,Stockholm (1912),1912,Athletics,Athletics,Armas Rudolf Taipale,FIN,Men,discus throw men,Gold,1,0,0,Armas Rudolf Taipale (FIN),Armas Rudolf Taipale (FIN),Gold
652,Stockholm (1912),1912,Athletics,Athletics,Armas Rudolf Taipale,FIN,Men,"discus throw, both hands men",Gold,1,0,0,Armas Rudolf Taipale (FIN),Armas Rudolf Taipale (FIN),Gold
655,Stockholm (1912),1912,Athletics,Athletics,Matthew J. Mcgrath,USA,Men,hammer throw men,Gold,1,0,0,Matthew J. Mcgrath (USA),Matthew J. Mcgrath (USA),Gold
658,Stockholm (1912),1912,Athletics,Athletics,Alma Wilfred Richards,USA,Men,high jump men,Gold,1,0,0,Alma Wilfred Richards (USA),Alma Wilfred Richards (USA),Gold
661,Stockholm (1912),1912,Athletics,Athletics,Platt Adams,USA,Men,"high jump, standing men",Gold,1,0,0,Platt Adams (USA),Platt Adams (USA),Gold
664,Stockholm (1912),1912,Athletics,Athletics,Eric Lemming,SWE,Men,javelin throw men,Gold,1,0,0,Eric Lemming (SWE),Eric Lemming (SWE),Gold
667,Stockholm (1912),1912,Athletics,Athletics,Juho Julius Saaristo,FIN,Men,"javelin throw, both hands men",Gold,1,0,0,Juho Julius Saaristo (FIN),Juho Julius Saaristo (FIN),Gold
670,Stockholm (1912),1912,Athletics,Athletics,Albert Lovejoy Gutterson,USA,Men,long jump men,Gold,1,0,0,Albert Lovejoy Gutterson (USA),Albert Lovejoy Gutterson (USA),Gold
673,Stockholm (1912),1912,Athletics,Athletics,Konstantinos Tsiclitiras,GRE,Men,"long jump, standing men",Gold,1,0,0,Konstantinos Tsiclitiras (GRE),Konstantinos Tsiclitiras (GRE),Gold
676,Stockholm (1912),1912,Athletics,Athletics,Kennedy Kane Mcarthur,RSA,Men,marathon men,Gold,1,0,0,Kennedy Kane Mcarthur (RSA),Kennedy Kane Mcarthur (RSA),Gold
680,Stockholm (1912),1912,Athletics,Athletics,Ferdinand Reinhardt Bie,NOR,Men,pentathlon men,Gold,1,0,0,Ferdinand Reinhardt Bie (NOR),Ferdinand Reinhardt Bie (NOR),Gold
681,Stockholm (1912),1912,Athletics,Athletics,Ferdinand Reinhardt Bie,NOR,Men,pentathlon men,Gold,1,0,0,Ferdinand Reinhardt Bie (NOR),Jim Thorpe (USA),Gold
682,Stockholm (1912),1912,Athletics,Athletics,Jim Thorpe,USA,Men,pentathlon men,Gold,1,0,0,Jim Thorpe (USA),Ferdinand Reinhardt Bie (NOR),Gold
683,Stockholm (1912),1912,Athletics,Athletics,Jim Thorpe,USA,Men,pentathlon men,Gold,1,0,0,Jim Thorpe (USA),Jim Thorpe (USA),Gold
689,Stockholm (1912),1912,Athletics,Athletics,Harry Stoddard Babcock,USA,Men,pole vault men,Gold,1,0,0,Harry Stoddard Babcock (USA),Harry Stoddard Babcock (USA),Gold
693,Stockholm (1912),1912,Athletics,Athletics,Patrick Mcdonald,USA,Men,shot put men,Gold,1,0,0,Patrick Mcdonald (USA),Patrick Mcdonald (USA),Gold
696,Stockholm (1912),1912,Athletics,Athletics,Ralph Rose,USA,Men,"shot put, both hands men",Gold,1,0,0,Ralph Rose (USA),Ralph Rose (USA),Gold
699,Stockholm (1912),1912,Athletics,Athletics,Gustav Lindblom,SWE,Men,triple jump men,Gold,1,0,0,Gustav Lindblom (SWE),Gustav Lindblom (SWE),Gold
702,Antwerp (1920),1920,Athletics,Athletics,Paavo Nurmi,FIN,Men,10000m men,Gold,1,0,0,Paavo Nurmi (FIN),Paavo Nurmi (FIN),Gold
705,Antwerp (1920),1920,Athletics,Athletics,Ugo Frigerio,ITA,Men,10000m walk men,Gold,1,0,0,Ugo Frigerio (ITA),Ugo Frigerio (ITA),Gold
708,Antwerp (1920),1920,Athletics,Athletics,Charles Paddock,USA,Men,100m men,Gold,1,0,0,Charles Paddock (USA),Charles Paddock (USA),Gold
711,Antwerp (1920),1920,Athletics,Athletics,Earl Thomson,CAN,Men,110m hurdles men,Gold,1,0,0,Earl Thomson (CAN),Earl Thomson (CAN),Gold
714,Antwerp (1920),1920,Athletics,Athletics,Albert Hill,GBR,Men,1500m men,Gold,1,0,0,Albert Hill (GBR),Albert Hill (GBR),Gold
717,Antwerp (1920),1920,Athletics,Athletics,Allen Woodring,USA,Men,200m men,Gold,1,0,0,Allen Woodring (USA),Allen Woodring (USA),Gold
720,Antwerp (1920),1920,Athletics,Athletics,Percy Hodge,GBR,Men,3000m steeplechase men,Gold,1,0,0,Percy Hodge (GBR),Percy Hodge (GBR),Gold
731,Antwerp (1920),1920,Athletics,Athletics,Horace Hallock Brown,USA,Men,3000m team men,Gold,1,0,0,Horace Hallock Brown (USA),Horace Hallock Brown (USA),Gold
732,Antwerp (1920),1920,Athletics,Athletics,Horace Hallock Brown,USA,Men,3000m team men,Gold,1,0,0,Horace Hallock Brown (USA),Ivan Dresser (USA),Gold
733,Antwerp (1920),1920,Athletics,Athletics,Horace Hallock Brown,USA,Men,3000m team men,Gold,1,0,0,Horace Hallock Brown (USA),Arlie Alfred Schardt (USA),Gold
734,Antwerp (1920),1920,Athletics,Athletics,Ivan Dresser,USA,Men,3000m team men,Gold,1,0,0,Ivan Dresser (USA),Horace Hallock Brown (USA),Gold
735,Antwerp (1920),1920,Athletics,Athletics,Ivan Dresser,USA,Men,3000m team men,Gold,1,0,0,Ivan Dresser (USA),Ivan Dresser (USA),Gold
736,Antwerp (1920),1920,Athletics,Athletics,Ivan Dresser,USA,Men,3000m team men,Gold,1,0,0,Ivan Dresser (USA),Arlie Alfred Schardt (USA),Gold
737,Antwerp (1920),1920,Athletics,Athletics,Arlie Alfred Schardt,USA,Men,3000m team men,Gold,1,0,0,Arlie Alfred Schardt (USA),Horace Hallock Brown (USA),Gold
738,Antwerp (1920),1920,Athletics,Athletics,Arlie Alfred Schardt,USA,Men,3000m team men,Gold,1,0,0,Arlie Alfred Schardt (USA),Ivan Dresser (USA),Gold
739,Antwerp (1920),1920,Athletics,Athletics,Arlie Alfred Schardt,USA,Men,3000m team men,Gold,1,0,0,Arlie Alfred Schardt (USA),Arlie Alfred Schardt (USA),Gold
750,Antwerp (1920),1920,Athletics,Athletics,Ugo Frigerio,ITA,Men,3000m walk men,Gold,1,0,0,Ugo Frigerio (ITA),Ugo Frigerio (ITA),Gold
753,Antwerp (1920),1920,Athletics,Athletics,Bevil Gordon D'Urban Rudd,RSA,Men,400m men,Gold,1,0,0,Bevil Gordon D'Urban Rudd (RSA),Bevil Gordon D'Urban Rudd (RSA),Gold
756,Antwerp (1920),1920,Athletics,Athletics,Frank Loomis,USA,Men,400m hurdles men,Gold,1,0,0,Frank Loomis (USA),Frank Loomis (USA),Gold
774,Antwerp (1920),1920,Athletics,Athletics,Morris Kirksey,USA,Men,4x100m relay men,Gold,1,0,0,Morris Kirksey (USA),Morris Kirksey (USA),Gold
775,Antwerp (1920),1920,Athletics,Athletics,Morris Kirksey,USA,Men,4x100m relay men,Gold,1,0,0,Morris Kirksey (USA),Loren Murchison (USA),Gold
776,Antwerp (1920),1920,Athletics,Athletics,Morris Kirksey,USA,Men,4x100m relay men,Gold,1,0,0,Morris Kirksey (USA),Charles Paddock (USA),Gold
777,Antwerp (1920),1920,Athletics,Athletics,Morris Kirksey,USA,Men,4x100m relay men,Gold,1,0,0,Morris Kirksey (USA),Jackson Scholz (USA),Gold
778,Antwerp (1920),1920,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Morris Kirksey (USA),Gold
779,Antwerp (1920),1920,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Loren Murchison (USA),Gold
780,Antwerp (1920),1920,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Charles Paddock (USA),Gold
781,Antwerp (1920),1920,Athletics,Athletics,Loren Murchison,USA,Men,4x100m relay men,Gold,1,0,0,Loren Murchison (USA),Jackson Scholz (USA),Gold
782,Antwerp (1920),1920,Athletics,Athletics,Charles Paddock,USA,Men,4x100m relay men,Gold,1,0,0,Charles Paddock (USA),Morris Kirksey (USA),Gold
783,Antwerp (1920),1920,Athletics,Athletics,Charles Paddock,USA,Men,4x100m relay men,Gold,1,0,0,Charles Paddock (USA),Loren Murchison (USA),Gold
784,Antwerp (1920),1920,Athletics,Athletics,Charles Paddock,USA,Men,4x100m relay men,Gold,1,0,0,Charles Paddock (USA),Charles Paddock (USA),Gold
785,Antwerp (1920),1920,Athletics,Athletics,Charles Paddock,USA,Men,4x100m relay men,Gold,1,0,0,Charles Paddock (USA),Jackson Scholz (USA),Gold
786,Antwerp (1920),1920,Athletics,Athletics,Jackson Scholz,USA,Men,4x100m relay men,Gold,1,0,0,Jackson Scholz (USA),Morris Kirksey (USA),Gold
787,Antwerp (1920),1920,Athletics,Athletics,Jackson Scholz,USA,Men,4x100m relay men,Gold,1,0,0,Jackson Scholz (USA),Loren Murchison (USA),Gold
788,Antwerp (1920),1920,Athletics,Athletics,Jackson Scholz,USA,Men,4x100m relay men,Gold,1,0,0,Jackson Scholz (USA),Charles Paddock (USA),Gold
789,Antwerp (1920),1920,Athletics,Athletics,Jackson Scholz,USA,Men,4x100m relay men,Gold,1,0,0,Jackson Scholz (USA),Jackson Scholz (USA),Gold
822,Antwerp (1920),1920,Athletics,Athletics,John Creyghton Ainsworth-Davis,GBR,Men,4x400m relay men,Gold,1,0,0,John Creyghton Ainsworth-Davis (GBR),John Creyghton Ainsworth-Davis (GBR),Gold
823,Antwerp (1920),1920,Athletics,Athletics,John Creyghton Ainsworth-Davis,GBR,Men,4x400m relay men,Gold,1,0,0,John Creyghton Ainsworth-Davis (GBR),Guy Montagu Butler (GBR),Gold
824,Antwerp (1920),1920,Athletics,Athletics,John Creyghton Ainsworth-Davis,GBR,Men,4x400m relay men,Gold,1,0,0,John Creyghton Ainsworth-Davis (GBR),Cecil Richmond Griffiths (GBR),Gold
825,Antwerp (1920),1920,Athletics,Athletics,John Creyghton Ainsworth-Davis,GBR,Men,4x400m relay men,Gold,1,0,0,John Creyghton Ainsworth-Davis (GBR),Robert Alexander Lindsay (GBR),Gold
826,Antwerp (1920),1920,Athletics,Athletics,Guy Montagu Butler,GBR,Men,4x400m relay men,Gold,1,0,0,Guy Montagu Butler (GBR),John Creyghton Ainsworth-Davis (GBR),Gold
827,Antwerp (1920),1920,Athletics,Athletics,Guy Montagu Butler,GBR,Men,4x400m relay men,Gold,1,0,0,Guy Montagu Butler (GBR),Guy Montagu Butler (GBR),Gold
828,Antwerp (1920),1920,Athletics,Athletics,Guy Montagu Butler,GBR,Men,4x400m relay men,Gold,1,0,0,Guy Montagu Butler (GBR),Cecil Richmond Griffiths (GBR),Gold
829,Antwerp (1920),1920,Athletics,Athletics,Guy Montagu Butler,GBR,Men,4x400m relay men,Gold,1,0,0,Guy Montagu Butler (GBR),Robert Alexander Lindsay (GBR),Gold
830,Antwerp (1920),1920,Athletics,Athletics,Cecil Richmond Griffiths,GBR,Men,4x400m relay men,Gold,1,0,0,Cecil Richmond Griffiths (GBR),John Creyghton Ainsworth-Davis (GBR),Gold
831,Antwerp (1920),1920,Athletics,Athletics,Cecil Richmond Griffiths,GBR,Men,4x400m relay men,Gold,1,0,0,Cecil Richmond Griffiths (GBR),Guy Montagu Butler (GBR),Gold
